Register,UE.Id,Latency,RRU.PrbTotDl,RRU.PrbTotUl,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,Unnamed: 10,source_file,sheet_name,Iteration,Total time (sec),Time (sec),Bandwidth (kbps),Iperf bw (kbps)
25.0,1.0,1742549421862230.0,115.0,4680.0,7.0,790.0,8.96,0.0,807.56,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
26.0,1.0,1742549422862260.0,70.0,8025.0,0.0,1394.0,1.2,1341.5,1404.53,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
27.0,1.0,1742549423862280.0,105.0,6909.0,7.0,1213.0,8.18,0.0,1235.9,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
28.0,1.0,1742549424862330.0,110.0,6197.0,8.0,1038.0,9.08,0.0,1046.58,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
29.0,1.0,1742549425862400.0,132.0,5976.0,7.0,1026.0,9.02,727.75,1034.22,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
30.0,1.0,1742549426862370.0,45.0,8918.0,0.0,1618.0,0.69,19.0,1633.67,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
31.0,1.0,1742549427862410.0,112.0,6448.0,7.0,1179.0,8.47,0.0,1194.65,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
32.0,1.0,1742549428862240.0,127.0,6462.0,8.0,1144.0,9.09,0.0,1165.62,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
33.0,1.0,1742549429862480.0,121.0,6466.0,7.0,1167.0,8.64,350.0,1169.58,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
34.0,1.0,1742549430862560.0,60.0,5312.0,0.0,803.0,0.72,0.0,820.38,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
35.0,1.0,1742549431862490.0,131.0,3590.0,7.0,506.0,8.98,0.0,512.41,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
36.0,1.0,1742549432862300.0,160.0,3680.0,7.0,435.0,9.12,0.0,444.35,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
37.0,1.0,1742549433862300.0,216.0,4246.0,6.0,397.0,7.86,340.0,405.11,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
38.0,1.0,1742549434862410.0,120.0,2896.0,1.0,226.0,2.25,0.0,230.42,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
39.0,1.0,1742549435862440.0,165.0,2326.0,7.0,164.0,9.16,0.0,168.13,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
40.0,1.0,1742549436862390.0,145.0,1929.0,8.0,117.0,9.55,0.0,120.26,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
41.0,1.0,1742549437862270.0,60.0,1386.0,4.0,52.0,5.12,228.5,54.24,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
42.0,1.0,1742549438862780.0,55.0,1067.0,3.0,17.0,3.79,0.0,18.15,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
43.0,1.0,1742549439862280.0,140.0,2568.0,7.0,305.0,8.89,0.0,314.12,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
44.0,1.0,1742549440862400.0,160.0,3718.0,7.0,483.0,9.19,0.0,501.04,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
45.0,1.0,1742549441862240.0,65.0,5786.0,1.0,995.0,2.14,208.33,997.79,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
46.0,1.0,1742549442862350.0,90.0,5964.0,6.0,963.0,7.16,0.0,987.78,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
47.0,1.0,1742549443862350.0,135.0,5263.0,8.0,801.0,9.16,0.0,808.45,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
48.0,1.0,1742549444862320.0,135.0,5070.0,8.0,825.0,9.2,156.0,832.01,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
49.0,1.0,1742549445862460.0,50.0,8331.0,0.0,1406.0,1.15,242.5,1420.19,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
50.0,1.0,1742549446862420.0,100.0,6464.0,7.0,1060.0,8.16,0.0,1074.87,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
51.0,1.0,1742549447862220.0,122.0,5925.0,8.0,1003.0,9.1,0.0,1016.1,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
52.0,1.0,1742549448862410.0,127.0,5850.0,7.0,1084.0,9.02,523.4,1095.38,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
53.0,1.0,1742549449862560.0,50.0,9290.0,0.0,1712.0,0.22,0.0,1738.64,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
54.0,1.0,1742549450862390.0,117.0,5837.0,7.0,919.0,8.95,0.0,932.7,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
55.0,1.0,1742549451862390.0,117.0,6005.0,7.0,1026.0,8.94,0.0,1030.02,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
56.0,1.0,1742549452862360.0,100.0,6787.0,6.0,1212.0,7.32,497.5,1226.89,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
57.0,1.0,1742549453862250.0,119.0,8157.0,1.0,1702.0,2.25,0.0,1717.53,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
58.0,1.0,1742549454862300.0,125.0,6152.0,8.0,1049.0,9.09,0.0,1065.54,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
59.0,1.0,1742549455862290.0,127.0,6052.0,8.0,955.0,9.11,0.0,975.01,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
60.0,1.0,1742549456862380.0,93.0,6653.0,6.0,1118.0,6.85,401.0,1121.1,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
61.0,1.0,1742549457862180.0,80.0,8500.0,1.0,1643.0,2.5,0.0,1666.73,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
62.0,1.0,1742549458862320.0,130.0,7026.0,8.0,1333.0,9.07,0.0,1346.18,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
63.0,1.0,1742549459862430.0,127.0,7165.0,8.0,1368.0,9.11,0.0,1384.33,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
64.0,1.0,1742549460862500.0,90.0,9232.0,4.0,1822.0,4.89,521.75,1832.16,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
65.0,1.0,1742549461862500.0,122.0,7442.0,3.0,1435.0,4.47,0.0,1451.96,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
66.0,1.0,1742549462862230.0,155.0,6347.0,7.0,1120.0,8.97,0.0,1137.54,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
67.0,1.0,1742549463862250.0,155.0,6084.0,7.0,1061.0,8.98,979.0,1070.28,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
68.0,1.0,1742549464862370.0,53.0,7263.0,0.0,1241.0,1.15,353.5,1253.68,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
69.0,1.0,1742549465862520.0,123.0,4978.0,7.0,800.0,8.0,0.0,820.12,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
70.0,1.0,1742549466862320.0,156.0,4258.0,7.0,648.0,9.0,0.0,651.2,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
71.0,1.0,1742549467862230.0,144.0,3948.0,7.0,553.0,8.96,473.0,564.44,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
72.0,1.0,1742549468862330.0,100.0,2600.0,0.0,202.0,0.9,95.0,203.7,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
73.0,1.0,1742549469862430.0,178.0,2732.0,7.0,210.0,8.74,0.0,216.34,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
74.0,1.0,1742549470862610.0,177.0,2955.0,7.0,223.0,9.26,0.0,228.21,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
75.0,1.0,1742549471862320.0,190.0,2892.0,7.0,246.0,8.97,811.0,249.1,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
76.0,1.0,1742549472862170.0,155.0,4761.0,0.0,544.0,1.22,0.0,561.19,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
77.0,1.0,1742549473862220.0,180.0,3158.0,7.0,412.0,9.26,0.0,412.02,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
78.0,1.0,1742549474862400.0,150.0,3390.0,8.0,423.0,9.27,0.0,437.23,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
79.0,1.0,1742549475862250.0,160.0,3884.0,7.0,552.0,8.58,563.33,558.02,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
80.0,1.0,1742549476862220.0,65.0,6664.0,0.0,1087.0,1.05,0.0,1112.43,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
81.0,1.0,1742549477862310.0,135.0,5782.0,8.0,919.0,9.18,0.0,920.84,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
82.0,1.0,1742549478862160.0,115.0,5699.0,8.0,943.0,9.12,0.0,963.04,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
83.0,1.0,1742549479862360.0,106.0,7403.0,6.0,1282.0,7.34,685.5,1290.04,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
84.0,1.0,1742549480862400.0,75.0,7794.0,1.0,1302.0,2.47,0.0,1327.97,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
85.0,1.0,1742549481862320.0,139.0,5938.0,8.0,1026.0,9.13,0.0,1029.93,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
86.0,1.0,1742549482862310.0,132.0,6267.0,8.0,1073.0,9.6,0.0,1087.74,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
87.0,1.0,1742549483862260.0,65.0,8268.0,1.0,1680.0,2.18,395.0,1692.34,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
88.0,1.0,1742549484862280.0,121.0,7735.0,6.0,1518.0,7.22,0.0,1539.81,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
89.0,1.0,1742549485862390.0,136.0,7007.0,8.0,1392.0,9.13,0.0,1403.54,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
90.0,1.0,1742549486862390.0,132.0,7140.0,8.0,1356.0,9.14,442.0,1370.16,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
91.0,1.0,1742549487862390.0,75.0,8926.0,0.0,1784.0,1.22,516.5,1799.47,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
92.0,1.0,1742549488862400.0,129.0,7994.0,7.0,1485.0,8.18,0.0,1508.41,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
93.0,1.0,1742549489862500.0,142.0,6734.0,8.0,1321.0,9.09,0.0,1330.07,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
94.0,1.0,1742549490862470.0,143.0,6882.0,8.0,1297.0,9.1,364.5,1309.79,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
95.0,1.0,1742549491862190.0,60.0,9399.0,0.0,1948.0,0.76,17.0,1965.28,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
96.0,1.0,1742549492862530.0,199.0,5923.0,7.0,1214.0,8.98,0.0,1237.16,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
97.0,1.0,1742549493862320.0,170.0,6075.0,8.0,1156.0,9.31,0.0,1163.13,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
98.0,1.0,1742549494862510.0,123.0,6311.0,7.0,1214.0,8.34,178.4,1222.65,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
99.0,1.0,1742549495862440.0,65.0,8146.0,0.0,1359.0,1.02,0.0,1375.86,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
100.0,1.0,1742549496862290.0,130.0,6062.0,8.0,1026.0,9.13,0.0,1047.16,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
101.0,1.0,1742549497862170.0,141.0,5963.0,8.0,990.0,9.13,0.0,995.26,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
102.0,1.0,1742549498862240.0,122.0,6046.0,6.0,964.0,6.98,508.2,975.82,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
103.0,1.0,1742549499862430.0,145.0,4456.0,1.0,569.0,2.83,0.0,580.42,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
104.0,1.0,1742549500862370.0,131.0,2112.0,8.0,176.0,9.66,0.0,178.3,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
105.0,1.0,1742549501862440.0,146.0,1877.0,8.0,117.0,9.21,0.0,120.31,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
106.0,1.0,1742549502862430.0,98.0,1890.0,6.0,113.0,6.88,189.6,116.34,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
107.0,1.0,1742549503862260.0,165.0,3599.0,1.0,298.0,2.9,0.0,305.08,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
108.0,1.0,1742549504862190.0,195.0,3559.0,8.0,317.0,9.55,0.0,322.82,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
109.0,1.0,1742549505862350.0,210.0,3676.0,8.0,376.0,9.51,0.0,384.33,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
110.0,1.0,1742549506862500.0,85.0,4501.0,1.0,700.0,2.21,1031.33,709.91,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
111.0,1.0,1742549507862180.0,105.0,4935.0,6.0,774.0,7.2,0.0,790.79,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
112.0,1.0,1742549508862110.0,145.0,4694.0,8.0,719.0,9.16,0.0,736.99,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
113.0,1.0,1742549509862360.0,127.0,5054.0,8.0,801.0,9.21,0.0,803.35,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
114.0,1.0,1742549510862290.0,55.0,8047.0,0.0,1371.0,1.15,670.0,1385.28,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
115.0,1.0,1742549511862300.0,110.0,6811.0,7.0,1320.0,8.14,0.0,1333.79,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
116.0,1.0,1742549512862310.0,109.0,6007.0,8.0,1061.0,9.05,0.0,1074.46,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
117.0,1.0,1742549513862220.0,118.0,6050.0,8.0,990.0,9.13,298.0,1003.9,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
118.0,1.0,1742549514862290.0,55.0,8256.0,0.0,1381.0,0.24,0.0,1404.35,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
119.0,1.0,1742549515862270.0,137.0,6525.0,8.0,1250.0,9.19,0.0,1255.27,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
120.0,1.0,1742549516862290.0,129.0,6276.0,8.0,1085.0,9.12,0.0,1103.11,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
121.0,1.0,1742549517862630.0,155.0,6276.0,7.0,1084.0,8.21,676.8,1091.83,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
122.0,1.0,1742549518862320.0,65.0,6175.0,0.0,1028.0,1.05,0.0,1052.72,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
123.0,1.0,1742549519862320.0,147.0,5036.0,8.0,778.0,9.18,0.0,783.12,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
124.0,1.0,1742549520862310.0,160.0,5503.0,7.0,920.0,9.01,0.0,936.05,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
125.0,1.0,1742549521862280.0,100.0,7325.0,6.0,1425.0,6.86,370.4,1431.29,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
126.0,1.0,1742549522862480.0,87.0,9477.0,1.0,1832.0,2.45,0.0,1858.09,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
127.0,1.0,1742549523862550.0,134.0,7185.0,7.0,1356.0,8.95,0.0,1373.45,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
128.0,1.0,1742549524862190.0,144.0,6877.0,8.0,1321.0,9.1,0.0,1327.61,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
129.0,1.0,1742549525862200.0,81.0,8633.0,4.0,1741.0,5.35,315.75,1755.46,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
130.0,1.0,1742549526862360.0,104.0,9727.0,3.0,2000.0,3.98,0.0,2020.69,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
131.0,1.0,1742549527862270.0,142.0,8082.0,8.0,1652.0,9.11,0.0,1675.62,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
132.0,1.0,1742549528862430.0,136.0,8212.0,8.0,1687.0,9.14,0.0,1699.22,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
133.0,1.0,1742549529862240.0,65.0,8968.0,0.0,1819.0,1.2,479.5,1833.46,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
134.0,1.0,1742549530862270.0,131.0,7028.0,7.0,1225.0,8.15,0.0,1243.11,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
135.0,1.0,1742549531862390.0,121.0,5453.0,8.0,908.0,9.08,0.0,926.32,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
136.0,1.0,1742549532862340.0,143.0,4365.0,7.0,706.0,8.66,717.25,706.02,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
137.0,1.0,1742549533862080.0,165.0,4732.0,0.0,579.0,1.25,0.0,599.46,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
138.0,1.0,1742549534862610.0,222.0,3463.0,8.0,305.0,9.55,0.0,301.06,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
139.0,1.0,1742549535862240.0,185.0,2515.0,8.0,187.0,9.35,0.0,192.09,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
